chr	pos	cov
Pcer_chr1A	2.975e+07	39.2201
Pcer_chr1A	3.025e+07	31.2302
Pcer_chr1A	3.075e+07	29.6119
Pcer_chr1A	3.125e+07	34.7349
Pcer_chr1A	3.175e+07	37.4361
Pcer_chr1A	3.225e+07	35.0775
Pcer_chr1A	3.275e+07	29.4904
Pcer_chr1A	3.325e+07	24.9365
Pcer_chr1A	3.375e+07	33.6934
Pcer_chr1A	3.425e+07	36.4431
Pcer_chr1A	3.475e+07	35.5994
Pcer_chr1A	3.525e+07	37.3852
Pcer_chr1A	3.575e+07	34.7224
Pcer_chr1A	3.625e+07	23.6176
Pcer_chr1A	3.675e+07	19.5119
Pcer_chr1A	3.725e+07	20.1562
Pcer_chr1A	3.775e+07	20.0888
Pcer_chr1A	3.825e+07	18.542
Pcer_chr1A	3.875e+07	21.8678
Pcer_chr1A	3.925e+07	20.1089
Pcer_chr1A	3.975e+07	17.7935
Pcer_chr1A	4.025e+07	18.959
Pcer_chr1A	4.075e+07	19.4192
Pcer_chr1A	4.125e+07	23.3722
Pcer_chr1A	4.175e+07	18.9957
Pcer_chr1A	4.225e+07	23.959
Pcer_chr1A	4.275e+07	24.6357
Pcer_chr1A	4.325e+07	20.6581
Pcer_chr1A	4.375e+07	21.9964
Pcer_chr1A	4.425e+07	41.8592
Pcer_chr1A	4.475e+07	31.3897
Pcer_chr1A	4.525e+07	34.1541
Pcer_chr1A	4.575e+07	30.5429
Pcer_chr1A	4.625e+07	19.3651
Pcer_chr1A	4.675e+07	19.1066
Pcer_chr1A	4.725e+07	19.657
Pcer_chr1A	4.775e+07	20.0982
Pcer_chr1A	4.825e+07	18.6077
Pcer_chr1A	4.875e+07	20.5273
Pcer_chr1A	4.925e+07	20.0973
Pcer_chr1A	4.975e+07	18.5435
Pcer_chr1A	5.025e+07	23.14
Pcer_chr1A	5.075e+07	25.9855
Pcer_chr1A	5.125e+07	22.3764
Pcer_chr1A	5.175e+07	24.7763
Pcer_chr1A	5.225e+07	20.53
Pcer_chr1A__	250000	56.7062
Pcer_chr1A__	750000	39.9033
Pcer_chr1A__	1.25e+06	1.64968
Pcer_chr1A__	1.75e+06	1.22238
Pcer_chr1A__	2.25e+06	2.18959
Pcer_chr1A__	2.75e+06	0.41632
Pcer_chr1A__	3.25e+06	1.82468
Pcer_chr1A__	3.75e+06	0.792192
Pcer_chr1A__	4.25e+06	1.28977
Pcer_chr1A__	4.75e+06	2.04207
Pcer_chr1A__	5.25e+06	3.35539
Pcer_chr1A__	5.75e+06	8.3982
Pcer_chr1A__	6.25e+06	1.83743
Pcer_chr1A__	6.75e+06	7.69907
Pcer_chr1A__	7.25e+06	1.05245
Pcer_chr1A__	7.75e+06	2.05173
Pcer_chr1A__	8.25e+06	1.02028
Pcer_chr1A__	8.75e+06	1.48825
Pcer_chr1A__	9.25e+06	0.591332
Pcer_chr1A__	9.75e+06	1.42761
Pcer_chr1A__	1.025e+07	0.605528
Pcer_chr1A__	1.075e+07	0.319596
Pcer_chr1A__	1.125e+07	0.60975
Pcer_chr1A__	1.175e+07	0.7961
Pcer_chr1A__	1.225e+07	1.13563
Pcer_chr1A__	1.275e+07	0.921884
Pcer_chr1A__	1.325e+07	5.75366
Pcer_chr1A__	1.375e+07	8.18914
Pcer_chr1A__	1.425e+07	5.77827
Pcer_chr1A__	1.475e+07	2.98244
Pcer_chr1A__	1.525e+07	1.31232
Pcer_chr1A__	1.575e+07	1.20878
Pcer_chr1A__	1.625e+07	0.580362
Pcer_chr1A__	1.675e+07	0.904738
Pcer_chr1A__	1.725e+07	1.6604
Pcer_chr1A__	1.775e+07	1.36573
Pcer_chr1A__	1.825e+07	1.59201
Pcer_chr1A__	1.875e+07	1.20837
Pcer_chr1A__	1.925e+07	3.20196
Pcer_chr1A__	1.975e+07	4.95073
Pcer_chr1A__	2.025e+07	2.94449
Pcer_chr1A__	2.075e+07	1.26559
Pcer_chr1A__	2.125e+07	1.57065
Pcer_chr1A__	2.175e+07	1.74009
Pcer_chr1A__	2.225e+07	2.03144
Pcer_chr1A__	2.275e+07	1.37918
Pcer_chr1A__	2.325e+07	4.50199
Pcer_chr1A__	2.375e+07	1.33003
Pcer_chr1A__	2.425e+07	0.689418
Pcer_chr1A__	2.475e+07	1.26884
Pcer_chr1A__	2.525e+07	8.77565
Pcer_chr1A__	2.575e+07	0.272572
Pcer_chr1A__	2.625e+07	2.00881
Pcer_chr1A__	2.675e+07	2.3373
Pcer_chr1A__	2.725e+07	0.572718
Pcer_chr1A__	2.775e+07	2.09854
Pcer_chr1A__	2.825e+07	0.782688
Pcer_chr1A__	2.875e+07	3.0538
Pcer_chr1A__	2.925e+07	1.5342
Pcer_chr1A__	2.975e+07	0.895014
Pcer_chr1A__	3.025e+07	0.799338
Pcer_chr1A__	3.075e+07	0.893444
Pcer_chr1A__	3.125e+07	0.419568
Pcer_chr1A__	3.175e+07	0.409962
Pcer_chr1A__	3.225e+07	1.39247
Pcer_chr1A__	3.275e+07	2.45486
Pcer_chr1A__	3.325e+07	1.48264
Pcer_chr1A__	3.375e+07	1.36327
Pcer_chr1A__	3.425e+07	2.56255
Pcer_chr1A__	3.475e+07	0.486518
Pcer_chr1A__	3.525e+07	14.6269
Pcer_chr1A__	3.575e+07	0.848718
Pcer_chr1A__	3.625e+07	0.225278
Pcer_chr1A__	3.675e+07	0.539066
Pcer_chr1A__	3.725e+07	0.358428
Pcer_chr1A__	3.775e+07	0.185046
Pcer_chr1A__	3.825e+07	0.725752
Pcer_chr1A__	3.875e+07	0.287242
Pcer_chr1A__	3.925e+07	3.3767
Pcer_chr1A__	3.975e+07	0.326252
Pcer_chr1A__	4.025e+07	2.31426
Pcer_chr1A__	4.075e+07	3.90854
Pcer_chr1A__	4.125e+07	0.296218
Pcer_chr1A__	4.175e+07	6.26292
Pcer_chr1A__	4.225e+07	5.48012
Pcer_chr1A__	4.275e+07	5.18378
Pcer_chr1A__	4.325e+07	7.32394
Pcer_chr1A__	4.375e+07	7.7878
Pcer_chr1A__	4.425e+07	0.29314
Pcer_chr1A__	4.475e+07	0.365762
Pcer_chr1A__	4.525e+07	2.18824
Pcer_chr1A__	4.575e+07	1.05412
Pcer_chr1A__	4.625e+07	1.89364
Pcer_chr1A__	4.675e+07	0.401186
Pcer_chr1A__	4.725e+07	0.943166
Pcer_chr1A__	4.775e+07	0.899498
Pcer_chr1A__	4.825e+07	2.11978
Pcer_chr1A__	4.875e+07	5.89451
Pcer_chr1A__	4.925e+07	14.4682
Pcer_chr1A__	4.975e+07	1.26953
Pcer_chr1A__	5.025e+07	2.64533
Pcer_chr1A__	5.075e+07	10.2163
Pcer_chr1A__	5.125e+07	33.0454
Pcer_chr1B	250000	20.135
Pcer_chr1B	750000	45.7202
Pcer_chr1B	1.25e+06	32.238
Pcer_chr1B	1.75e+06	21.8027
Pcer_chr1B	2.25e+06	32.7776
Pcer_chr1B	2.75e+06	31.9651
Pcer_chr1B	3.25e+06	33.0068
Pcer_chr1B	3.75e+06	40.5178
Pcer_chr1B	4.25e+06	41.8132
Pcer_chr1B	4.75e+06	37.1122
Pcer_chr1B	5.25e+06	37.0078
Pcer_chr1B	5.75e+06	37.9244
Pcer_chr1B	6.25e+06	34.2181
Pcer_chr1B	6.75e+06	33.6591
Pcer_chr1B	7.25e+06	31.4299
Pcer_chr1B	7.75e+06	37.2529
Pcer_chr1B	8.25e+06	37.0624
Pcer_chr1B	8.75e+06	35.2998
Pcer_chr1B	9.25e+06	32.2349
Pcer_chr1B	9.75e+06	35.4205
Pcer_chr1B	1.025e+07	34.5952
Pcer_chr1B	1.075e+07	38.5472
Pcer_chr1B	1.125e+07	35.9425
Pcer_chr1B	1.175e+07	33.8461
Pcer_chr1B	1.225e+07	34.8536
Pcer_chr1B	1.275e+07	38.0739
Pcer_chr1B	1.325e+07	31.61
Pcer_chr1B	1.375e+07	32.4063
Pcer_chr1B	1.425e+07	38.1771
Pcer_chr1B	1.475e+07	34.5238
Pcer_chr1B	1.525e+07	32.359
Pcer_chr1B	1.575e+07	23.6962
Pcer_chr1B	1.625e+07	14.4075
Pcer_chr1B	1.675e+07	16.6917
Pcer_chr1B	1.725e+07	30.8254
Pcer_chr1B	1.775e+07	29.2965
Pcer_chr1B	1.825e+07	29.652
Pcer_chr1B	1.875e+07	33.4228
Pcer_chr1B	1.925e+07	33.8608
Pcer_chr1B	1.975e+07	28.2781
Pcer_chr1B	2.025e+07	24.7928
Pcer_chr1B	2.075e+07	26.9261
Pcer_chr1B	2.125e+07	31.4178
Pcer_chr1B	2.175e+07	26.6725
Pcer_chr1B	2.225e+07	38.1994
Pcer_chr1B	2.275e+07	31.9984
Pcer_chr1B	2.325e+07	33.6036
Pcer_chr1B	2.375e+07	33.8778
Pcer_chr1B	2.425e+07	31.664
Pcer_chr1B	2.475e+07	31.3147
Pcer_chr1B	2.525e+07	33.0107
Pcer_chr1B	2.575e+07	22.8546
Pcer_chr1B	2.625e+07	31.6233
Pcer_chr1B	2.675e+07	36.1394
Pcer_chr1B	2.725e+07	32.9687
Pcer_chr1B	2.775e+07	32.6747
Pcer_chr1B	2.825e+07	28.6805
Pcer_chr1B	2.875e+07	34.2046
Pcer_chr1B	2.925e+07	35.5977
Pcer_chr1B	2.975e+07	32.8737
Pcer_chr1B	3.025e+07	35.5458
Pcer_chr1B	3.075e+07	38.1102
Pcer_chr1B	3.125e+07	36.717
Pcer_chr1B	3.175e+07	31.4708
Pcer_chr1B	3.225e+07	33.0577
Pcer_chr1B	3.275e+07	28.0793
Pcer_chr1B	3.325e+07	37.0123
Pcer_chr1B	3.375e+07	51.0767
Pcer_chr1B	3.425e+07	52.8444
Pcer_chr1B	3.475e+07	51.9027
Pcer_chr1B	3.525e+07	56.8641
Pcer_chr1B	3.575e+07	54.0713
Pcer_chr1B	3.625e+07	55.497
Pcer_chr1B	3.675e+07	52.2724
Pcer_chr1B	3.725e+07	50.9263
Pcer_chr1B	3.775e+07	53.3472
Pcer_chr1B	3.825e+07	50.4289
Pcer_chr1B	3.875e+07	54.8006
Pcer_chr1B	3.925e+07	50.0818
Pcer_chr1B	3.975e+07	54.7086
Pcer_chr1B	4.025e+07	55.3108
Pcer_chr1B	4.075e+07	43.9649
Pcer_chr1B	4.125e+07	52.5757
Pcer_chr1B	4.175e+07	56.1635
Pcer_chr1B	4.225e+07	52.9817
Pcer_chr1B	4.275e+07	51.4366
Pcer_chr1B	4.325e+07	51.3326
Pcer_chr1B	4.375e+07	54.3227
Pcer_chr1B	4.425e+07	48.0605
Pcer_chr1B	4.475e+07	48.1607
Pcer_chr1B	4.525e+07	38.9182
Pcer_chr1B	4.575e+07	12.1021
Pcer_chr1B	4.625e+07	22.8026
Pcer_chr1B	4.675e+07	20.3091
Pcer_chr1B	4.725e+07	51.8296
Pcer_chr1B	4.775e+07	36.5756
Pcer_chr1B	4.825e+07	27.9724
Pcer_chr1B	4.875e+07	27.1784
Pcer_chr2A	250000	41.4726
Pcer_chr2A	750000	29.6532
Pcer_chr2A	1.25e+06	36.09
Pcer_chr2A	1.75e+06	21.9957
Pcer_chr2A	2.25e+06	21.8602
Pcer_chr2A	2.75e+06	23.2588
Pcer_chr2A	3.25e+06	28.8843
Pcer_chr2A	3.75e+06	33.3256
Pcer_chr2A	4.25e+06	28.1468
Pcer_chr2A	4.75e+06	35.9864
Pcer_chr2A	5.25e+06	39.9094
Pcer_chr2A	5.75e+06	19.9782
Pcer_chr2A	6.25e+06	34.0464
Pcer_chr2A	6.75e+06	34.6968
Pcer_chr2A	7.25e+06	34.8011
Pcer_chr2A	7.75e+06	30.5623
Pcer_chr2A	8.25e+06	27.4015
Pcer_chr2A	8.75e+06	22.338
Pcer_chr2A	9.25e+06	25.8368
Pcer_chr2A	9.75e+06	34.5305
Pcer_chr2A	1.025e+07	39.1231
Pcer_chr2A	1.075e+07	32.9346
Pcer_chr2A	1.125e+07	33.9727
Pcer_chr2A	1.175e+07	38.941
Pcer_chr2A	1.225e+07	31.8316
Pcer_chr2A	1.275e+07	32.4053
Pcer_chr2A	1.325e+07	33.2068
Pcer_chr2A	1.375e+07	22.4116
Pcer_chr2A	1.425e+07	18.4702
Pcer_chr2A	1.475e+07	22.0172
Pcer_chr2A	1.525e+07	31.9255
Pcer_chr2A	1.575e+07	17.9775
Pcer_chr2A	1.625e+07	19.8392
Pcer_chr2A	1.675e+07	16.869
Pcer_chr2A	1.725e+07	33.9423
Pcer_chr2A	1.775e+07	42.3366
Pcer_chr2A	1.825e+07	24.4846
Pcer_chr2A	1.875e+07	32.039
Pcer_chr2A	1.925e+07	34.9893
Pcer_chr2A	1.975e+07	25.7985
Pcer_chr2A	2.025e+07	31.2088
Pcer_chr2A	2.075e+07	15.293
Pcer_chr2A	2.125e+07	28.5682
Pcer_chr2A	2.175e+07	31.2367
Pcer_chr2A	2.225e+07	34.4901
Pcer_chr2A	2.275e+07	35.2522
Pcer_chr2A	2.325e+07	30.0066
Pcer_chr2A	2.375e+07	33.6318
Pcer_chr2A	2.425e+07	33.3698
Pcer_chr2A	2.475e+07	37.0324
Pcer_chr2A	2.525e+07	36.3073
Pcer_chr2A	2.575e+07	37.526
Pcer_chr2A	2.625e+07	42.8133
Pcer_chr2A	2.675e+07	35.9257
Pcer_chr2A	2.725e+07	18.8872
Pcer_chr2A	2.775e+07	16.1732
Pcer_chr2A	2.825e+07	21.9569
Pcer_chr2A	2.875e+07	34.1823
Pcer_chr2A	2.925e+07	38.2287
Pcer_chr2A	2.975e+07	38.9303
Pcer_chr2A	3.025e+07	36.5856
Pcer_chr2A	3.075e+07	37.6948
Pcer_chr2A	3.125e+07	37.6004
Pcer_chr2A	3.175e+07	36.096
Pcer_chr2A	3.225e+07	58.9546
Pcer_chr2A	3.275e+07	47.1081
Pcer_chr2A	3.325e+07	35.8675
Pcer_chr2A	3.375e+07	37.348
Pcer_chr2A	3.425e+07	35.9471
Pcer_chr2A	3.475e+07	36.7205
Pcer_chr2A	3.525e+07	41.0994
Pcer_chr2A	3.575e+07	38.2147
Pcer_chr2A__	250000	5.75514
Pcer_chr2A__	750000	1.41464
Pcer_chr2A__	1.25e+06	0.70068
Pcer_chr2A__	1.75e+06	2.72228
Pcer_chr2A__	2.25e+06	4.00189
Pcer_chr2A__	2.75e+06	2.53337
Pcer_chr2A__	3.25e+06	7.16358
Pcer_chr2A__	3.75e+06	1.13757
Pcer_chr2A__	4.25e+06	13.047
Pcer_chr2A__	4.75e+06	2.61032
Pcer_chr2A__	5.25e+06	6.69329
Pcer_chr2A__	5.75e+06	1.16373
Pcer_chr2A__	6.25e+06	1.71698
Pcer_chr2A__	6.75e+06	12.3647
Pcer_chr2A__	7.25e+06	12.138
Pcer_chr2A__	7.75e+06	16.1804
Pcer_chr2A__	8.25e+06	19.8405
Pcer_chr2A__	8.75e+06	11.6425
Pcer_chr2A__	9.25e+06	13.6886
Pcer_chr2A__	9.75e+06	12.0281
Pcer_chr2A__	1.025e+07	3.0966
Pcer_chr2A__	1.075e+07	18.0746
Pcer_chr2A__	1.125e+07	13.8693
Pcer_chr2A__	1.175e+07	7.68633
Pcer_chr2A__	1.225e+07	4.91807
Pcer_chr2A__	1.275e+07	10.9888
Pcer_chr2A__	1.325e+07	6.77503
Pcer_chr2A__	1.375e+07	8.13039
Pcer_chr2A__	1.425e+07	2.06729
Pcer_chr2A__	1.475e+07	13.2208
Pcer_chr2A__	1.525e+07	17.8723
Pcer_chr2A__	1.575e+07	17.1451
Pcer_chr2A__	1.625e+07	18.3018
Pcer_chr2A__	1.675e+07	14.9638
Pcer_chr2A__	1.725e+07	19.873
Pcer_chr2A__	1.775e+07	17.1107
Pcer_chr2A__	1.825e+07	19.5964
Pcer_chr2A__	1.875e+07	16.6124
Pcer_chr2A__	1.925e+07	12.5835
Pcer_chr2A__	1.975e+07	21.7766
Pcer_chr2A__	2.025e+07	17.1591
Pcer_chr2A__	2.075e+07	19.9046
Pcer_chr2A__	2.125e+07	16.1101
Pcer_chr2A__	2.175e+07	18.8134
Pcer_chr2A__	2.225e+07	17.5931
Pcer_chr2A__	2.275e+07	17.2595
Pcer_chr2A__	2.325e+07	17.3991
Pcer_chr2A__	2.375e+07	15.3092
Pcer_chr2A__	2.425e+07	18.9653
Pcer_chr2A__	2.475e+07	21.1362
Pcer_chr2A__	2.525e+07	14.9154
Pcer_chr2A__	2.575e+07	24.822
Pcer_chr2A__	2.625e+07	18.1115
Pcer_chr2A__	2.675e+07	15.7391
Pcer_chr2A__	2.725e+07	22.3017
Pcer_chr2A__	2.775e+07	23.1088
Pcer_chr2A__	2.825e+07	35.306
Pcer_chr2A__	2.875e+07	35.7856
Pcer_chr2A__	2.925e+07	18.9213
Pcer_chr2A__	2.975e+07	17.7416
Pcer_chr2A__	3.025e+07	2.14893
Pcer_chr2A__	3.075e+07	8.11392
Pcer_chr2A__	3.125e+07	18.3145
Pcer_chr2A__	3.175e+07	20.0686
Pcer_chr2A__	3.225e+07	18.478
Pcer_chr2A__	3.275e+07	17.9781
Pcer_chr2A__	3.325e+07	19.7135
Pcer_chr2A__	3.375e+07	17.2187
Pcer_chr2A__	3.425e+07	19.1682
Pcer_chr2A__	3.475e+07	17.7112
Pcer_chr2A__	3.525e+07	19.5212
Pcer_chr2A__	3.575e+07	18.3605
Pcer_chr2B	250000	10.9093
Pcer_chr2B	750000	24.7893
Pcer_chr2B	1.25e+06	21.1861
Pcer_chr2B	1.75e+06	26.8013
Pcer_chr2B	2.25e+06	27.513
Pcer_chr2B	2.75e+06	29.9968
Pcer_chr2B	3.25e+06	33.9656
Pcer_chr2B	3.75e+06	33.3284
Pcer_chr2B	4.25e+06	31.1567
Pcer_chr2B	4.75e+06	27.5353
Pcer_chr2B	5.25e+06	30.6562
Pcer_chr2B	5.75e+06	20.9241
Pcer_chr2B	6.25e+06	22.7292
Pcer_chr2B	6.75e+06	13.4426
Pcer_chr2B	7.25e+06	11.3365
Pcer_chr2B	7.75e+06	14.2385
Pcer_chr2B	8.25e+06	12.0406
Pcer_chr2B	8.75e+06	5.64276
Pcer_chr2B	9.25e+06	11.1768
Pcer_chr2B	9.75e+06	12.9805
Pcer_chr2B	1.025e+07	6.46367
Pcer_chr2B	1.075e+07	14.6678
Pcer_chr2B	1.125e+07	16.3577
Pcer_chr2B	1.175e+07	17.8022
Pcer_chr2B	1.225e+07	13.9447
Pcer_chr2B	1.275e+07	16.8099
Pcer_chr2B	1.325e+07	23.0283
Pcer_chr2B	1.375e+07	18.1108
Pcer_chr2B	1.425e+07	16.4983
Pcer_chr2B	1.475e+07	16.3651
Pcer_chr2B	1.525e+07	12.1226
Pcer_chr2B	1.575e+07	18.101
Pcer_chr2B	1.625e+07	14.0169
Pcer_chr2B	1.675e+07	28.1205
Pcer_chr2B	1.725e+07	4.14508
Pcer_chr2B	1.775e+07	4.33091
Pcer_chr2B	1.825e+07	13.3395
Pcer_chr2B	1.875e+07	11.2156
Pcer_chr2B	1.925e+07	13.9306
Pcer_chr2B	1.975e+07	7.63756
Pcer_chr2B	2.025e+07	15.0878
Pcer_chr2B	2.075e+07	21.3159
Pcer_chr2B	2.125e+07	18.691
Pcer_chr2B	2.175e+07	18.9761
Pcer_chr2B	2.225e+07	20.5456
Pcer_chr2B	2.275e+07	18.9433
Pcer_chr2B	2.325e+07	15.3046
Pcer_chr2B	2.375e+07	18.4157
Pcer_chr2B	2.425e+07	18.11
Pcer_chr2B	2.475e+07	19.2897
Pcer_chr2B	2.525e+07	19.4003
Pcer_chr2B	2.575e+07	16.9813
Pcer_chr2B	2.625e+07	12.1256
Pcer_chr2B	2.675e+07	15.0177
Pcer_chr2B	2.725e+07	18.4551
Pcer_chr2B	2.775e+07	17.5785
Pcer_chr2B	2.825e+07	18.2536
Pcer_chr2B	2.875e+07	17.4517
Pcer_chr2B	2.925e+07	12.7717
Pcer_chr2B	2.975e+07	16.9527
Pcer_chr2B	3.025e+07	20.7854
Pcer_chr2B	3.075e+07	22.1594
Pcer_chr2B	3.125e+07	18.9947
Pcer_chr2B	3.175e+07	16.3089
Pcer_chr2B	3.225e+07	15.5852
Pcer_chr2B	3.275e+07	19.8942
Pcer_chr2B	3.325e+07	18.7358
Pcer_chr2B	3.375e+07	14.0436
Pcer_chr2B	3.425e+07	20.4764
Pcer_chr2B	3.475e+07	18.1707
Pcer_chr2B	3.525e+07	19.826
Pcer_chr2B	3.575e+07	19.4628
Pcer_chr3A	250000	38.62
Pcer_chr3A	750000	36.3861
Pcer_chr3A	1.25e+06	35.0424
Pcer_chr3A	1.75e+06	36.8132
Pcer_chr3A	2.25e+06	32.204
Pcer_chr3A	2.75e+06	37.7147
Pcer_chr3A	3.25e+06	30.6984
Pcer_chr3A	3.75e+06	36.6451
Pcer_chr3A	4.25e+06	36.659
Pcer_chr3A	4.75e+06	34.3594
Pcer_chr3A	5.25e+06	36.5288
Pcer_chr3A	5.75e+06	37.675
Pcer_chr3A	6.25e+06	33.835
Pcer_chr3A	6.75e+06	32.9994
Pcer_chr3A	7.25e+06	37.3968
Pcer_chr3A	7.75e+06	34.5883
Pcer_chr3A	8.25e+06	28.611
Pcer_chr3A	8.75e+06	34.5602
Pcer_chr3A	9.25e+06	40.2081
Pcer_chr3A	9.75e+06	26.6765
Pcer_chr3A	1.025e+07	31.7367
Pcer_chr3A	1.075e+07	31.6787
Pcer_chr3A	1.125e+07	31.2839
Pcer_chr3A	1.175e+07	30.9286
Pcer_chr3A	1.225e+07	38.5829
Pcer_chr3A	1.275e+07	26.2692
Pcer_chr3A	1.325e+07	27.2921
Pcer_chr3A	1.375e+07	16.8668
Pcer_chr3A	1.425e+07	24.0401
Pcer_chr3A	1.475e+07	29.6794
Pcer_chr3A	1.525e+07	28.3071
Pcer_chr3A	1.575e+07	38.7997
Pcer_chr3A	1.625e+07	37.5131
Pcer_chr3A	1.675e+07	34.2287
Pcer_chr3A	1.725e+07	35.8929
Pcer_chr3A	1.775e+07	31.3206
Pcer_chr3A	1.825e+07	32.7153
Pcer_chr3A	1.875e+07	35.1076
Pcer_chr3A	1.925e+07	28.1656
Pcer_chr3A	1.975e+07	34.2282
Pcer_chr3A	2.025e+07	36.4378
Pcer_chr3A	2.075e+07	24.9176
Pcer_chr3A	2.125e+07	33.2697
Pcer_chr3A	2.175e+07	32.4672
Pcer_chr3A	2.225e+07	34.2286
Pcer_chr3A	2.275e+07	37.0694
Pcer_chr3A	2.325e+07	44.619
Pcer_chr3A	2.375e+07	44.3953
Pcer_chr3A	2.425e+07	32.3508
Pcer_chr3A	2.475e+07	34.0565
Pcer_chr3A	2.525e+07	40.3723
Pcer_chr3A	2.575e+07	42.0504
Pcer_chr3A	2.625e+07	34.4198
Pcer_chr3A	2.675e+07	40.8751
Pcer_chr3A	2.725e+07	39.0792
Pcer_chr3A	2.775e+07	32.8627
Pcer_chr3A	2.825e+07	40.7625
Pcer_chr3A	2.875e+07	39.3898
Pcer_chr3A	2.925e+07	41.5385
Pcer_chr3A__	250000	0.368278
Pcer_chr3A__	750000	1.11323
Pcer_chr3A__	1.25e+06	2.11791
Pcer_chr3A__	1.75e+06	1.49141
Pcer_chr3A__	2.25e+06	2.27712
Pcer_chr3A__	2.75e+06	0.804308
Pcer_chr3A__	3.25e+06	1.26682
Pcer_chr3A__	3.75e+06	2.68973
Pcer_chr3A__	4.25e+06	0.509986
Pcer_chr3A__	4.75e+06	1.01777
Pcer_chr3A__	5.25e+06	0.935146
Pcer_chr3A__	5.75e+06	0.605642
Pcer_chr3A__	6.25e+06	0.461748
Pcer_chr3A__	6.75e+06	1.02279
Pcer_chr3A__	7.25e+06	2.45921
Pcer_chr3A__	7.75e+06	0.94977
Pcer_chr3A__	8.25e+06	3.93016
Pcer_chr3A__	8.75e+06	176.082
Pcer_chr3A__	9.25e+06	1.15766
Pcer_chr3A__	9.75e+06	1.1391
Pcer_chr3A__	1.025e+07	7.42492
Pcer_chr3A__	1.075e+07	1.25057
Pcer_chr3A__	1.125e+07	4.22919
Pcer_chr3A__	1.175e+07	1.6078
Pcer_chr3A__	1.225e+07	1.63288
Pcer_chr3A__	1.275e+07	0.569802
Pcer_chr3A__	1.325e+07	1.46752
Pcer_chr3A__	1.375e+07	1.15714
Pcer_chr3A__	1.425e+07	2.70894
Pcer_chr3A__	1.475e+07	1.67269
Pcer_chr3A__	1.525e+07	0.82071
Pcer_chr3A__	1.575e+07	0.916672
Pcer_chr3A__	1.625e+07	0.8264
Pcer_chr3A__	1.675e+07	3.53796
Pcer_chr3A__	1.725e+07	5.16233
Pcer_chr3A__	1.775e+07	0.81805
Pcer_chr3A__	1.825e+07	1.85515
Pcer_chr3A__	1.875e+07	2.29266
Pcer_chr3A__	1.925e+07	2.38387
Pcer_chr3A__	1.975e+07	0.51777
Pcer_chr3A__	2.025e+07	0.794464
Pcer_chr3A__	2.075e+07	5.534
Pcer_chr3A__	2.125e+07	2.22076
Pcer_chr3A__	2.175e+07	1.41838
Pcer_chr3A__	2.225e+07	0.622308
Pcer_chr3A__	2.275e+07	4.49903
Pcer_chr3A__	2.325e+07	35.5187
Pcer_chr3A__	2.375e+07	5.33346
Pcer_chr3A__	2.425e+07	8.89846
